country,hapiscore,income,energy,gini,gender
Netherlands2007,0.745,46900,4910.0,29.2,0.995
New Zealand2007,0.76,33100,4050.0,32.7,1.04
Nicaragua2007,0.494,3960,516.0,44.3,1.11
Niger2007,0.428,772,127.0,39.8,0.462
Nigeria2007,0.489,4420,751.0,41.5,0.701
North Macedonia2007,0.449,10500,1460.0,43.1,1.02
Norway2007,0.758,65100,5860.0,27.4,1.03
Oman2007,0.685,43100,6660.0,40.0,0.8079999999999999
Pakistan2007,0.5670000000000001,4100,500.0,32.0,0.516
Panama2007,0.6890000000000001,14000,883.0,53.3,1.08
Paraguay2007,0.527,8610,705.0,51.5,1.08
Peru2007,0.521,8640,506.0,49.4,0.934
Philippines2007,0.507,5180,432.0,44.6,1.07
Poland2007,0.589,19600,2530.0,34.0,1.05
Portugal2007,0.5315000000000001,27600,2400.0,37.0,1.09
Qatar2007,0.659,116000,18200.0,40.0,1.22
Romania2007,0.539,17100,1900.0,32.7,1.0
Russia2007,0.522,22800,4710.0,41.2,1.05
Saudi Arabia2007,0.727,45300,5570.0,40.0,0.721
Senegal2007,0.46799999999999997,2740,257.0,39.5,0.595
Serbia2007,0.475,12800,2250.0,30.1,1.02
Singapore2007,0.6829999999999999,69200,4680.0,42.5,0.97
Slovak Republic2007,0.605,24100,3320.0,27.1,1.02
Slovenia2007,0.6005,30200,3630.0,24.4,1.05
South Africa2007,0.52,11900,2780.0,63.9,1.02
South Korea2007,0.5770000000000001,28000,4560.0,32.0,0.971
South Sudan2007,0.289,3920,65.4,45.3,0.33899999999999997
Spain2007,0.6990000000000001,34300,3180.0,33.9,1.04
Sri Lanka2007,0.441,7330,467.0,39.6,1.02
Sudan2007,0.444,3190,366.0,35.5,0.698
Suriname2007,0.627,13000,1110.0,60.1,0.99
Sweden2007,0.7240000000000001,44100,5470.0,27.1,1.04
Switzerland2007,0.7509999999999999,56300,3410.0,33.7,0.97
Syria2007,0.40399999999999997,5860,1140.0,35.5,0.8009999999999999
Tajikistan2007,0.44299999999999995,1910,365.0,32.0,0.924
Tanzania2007,0.43200000000000005,2050,455.0,39.7,0.853
Thailand2007,0.578,12600,1590.0,40.7,1.0
Togo2007,0.377,1160,415.0,43.2,0.517
Trinidad and Tobago2007,0.619,31100,14600.0,41.2,1.05
Tunisia2007,0.47600000000000003,9690,877.0,37.4,0.7659999999999999
Turkey2007,0.562,17900,1440.0,39.7,0.8079999999999999
Turkmenistan2007,0.5625,7820,4590.0,46.4,1.0
Ukraine2007,0.525,8520,3000.0,27.6,1.04
United Arab Emirates2007,0.681,77200,8130.0,40.0,1.05
United Kingdom2007,0.68,38500,3440.0,34.6,1.01
United States2007,0.7509999999999999,50900,7760.0,40.8,1.02
